Order ID,Order Status,Order Date,Order Time,Order Total (inc tax),Customer ID,Product Details,Transaction ID
18053,Shipped,02/03/2014,22:08:14,102.41,81602,Product ID: 10072|Product ID: 10076,ch_103QrJ2GuzSZQBE5bWZ4THON
18054,Refunded,02/04/2014,10:32:44,47.98,85615,Product ID: 10675,ch_103R3K2GuzSZQBE5YpohbGxB
18055,Shipped,02/04/2014,10:55:47,138,94275,Product ID: 9365,ch_103R3g2GuzSZQBE5xYQBb6NE
18056,Shipped,02/04/2014,12:36:10,50.61,95182,Product ID: 9932,ch_103R5J2GuzSZQBE5F0620Yra
18057,Shipped,02/04/2014,14:22:05,75.41,93432,Product ID: 9893|Product ID: 10128,ch_103R722GuzSZQBE5D93wzSEh
18059,Shipped,02/05/2014,11:04:59,79,95183,Product ID: 10697,ch_103RRH2GuzSZQBE5VFTIIZfK
18063,Shipped,02/05/2014,16:51:35,158,95184,Product ID: 10680|Product ID: 10680,ch_103RWf2GuzSZQBE56720BXtx
18064,Partially Shipped,02/05/2014,17:53:56,79,93355,Product ID: 9439|Product ID: 9443|Product ID: 10307|Product ID: 10465,ch_103RXe2GuzSZQBE5eTnFOaUd
18065,Shipped,02/05/2014,18:04:40,34,95185,Product ID: 10684,2G343136XC0314019
18069,Shipped,02/06/2014,13:41:02,368,95187,Product ID: 10117,ch_103Rqn2GuzSZQBE5guTYWucG
18071,Shipped,02/06/2014,16:18:59,51.99,87027,Product ID: 10452,ch_103RtN2GuzSZQBE5lhiM4e6n
18073,Shipped,02/06/2014,17:31:00,29.84,90481,Product ID: 9895,ch_103RuU2GuzSZQBE5hgP2YtjE
18075,Shipped,02/06/2014,19:48:53,31.98,94527,Product ID: 10566,ch_103Rwl2GuzSZQBE5Mwp596PK
18076,Shipped,02/06/2014,20:53:03,36,84214,Product ID: 10101,ch_103Rxl2GuzSZQBE5mOUkJNR5
18078,Shipped,02/07/2014,23:22:56,49.73,87612,Product ID: 10703,ch_103SNP2GuzSZQBE5Q9gjAuCK
18079,Shipped,02/08/2014,13:13:17,27.61,90481,Product ID: 10119,ch_103Sap2GuzSZQBE5pJmuSPXz
18081,Shipped,02/09/2014,11:44:16,139.8,95188,Product ID: 10676,ch_103Swd2GuzSZQBE50Jel2JdW
18082,Shipped,02/09/2014,11:53:53,44.73,87405,Product ID: 10308,4YP07590JH568451X
18084,Shipped,02/09/2014,15:10:09,99.99,95190,Product ID: 10118,32N50957V7779792F
18085,Shipped,02/09/2014,16:02:28,67.98,95191,Product ID: 10664,3S071271M3530120K
18086,Shipped,02/09/2014,19:22:34,78,95159,Product ID: 10680|Product ID: 10680,ch_103T3z2GuzSZQBE5NdJ20KZO
18087,Shipped,02/09/2014,19:54:37,62.99,94733,Product ID: 10770,0MG68700D9921192R
18088,Shipped,02/09/2014,21:21:53,57.99,95192,Product ID: 10769,ch_103T5u2GuzSZQBE5HQH1zcw2
18089,Shipped,02/10/2014,3:32:40,30.85,95193,Product ID: 9572,ch_103TBt2GuzSZQBE5aPYucLlt
18090,Shipped,02/10/2014,12:17:27,73,95194,Product ID: 10754,ch_103TKM2GuzSZQBE58rSpEZFy
18091,Shipped,02/10/2014,13:09:45,33.99,89717,Product ID: 10081,ch_103TLC2GuzSZQBE5vnW8Nt0Z
18092,Shipped,02/10/2014,14:08:35,82.98,82012,Product ID: 10483|Product ID: 10786,6H171760V37523601
18093,Shipped,02/10/2014,17:39:20,37,87590,Product ID: 10594,ch_103TPX2GuzSZQBE5SUampYpg
18094,Shipped,02/10/2014,18:44:56,135.36,95195,Product ID: 9870,ch_103TQb2GuzSZQBE5wHXK3NBG
18096,Shipped,02/10/2014,21:03:11,52,95196,Product ID: 9652|Product ID: 9675,5X0799343A132263J
18097,Shipped,02/11/2014,0:52:29,63,95197,Product ID: 10722,35504710DB8470303
18098,Shipped,02/11/2014,2:29:53,61.98,95198,Product ID: 10232|Product ID: 10443,ch_103TY72GuzSZQBE5QKfju80L
18099,Shipped,02/11/2014,7:20:30,138,94275,Product ID: 9365,ch_103Tcm2GuzSZQBE5erLN5oMH
18104,Shipped,02/11/2014,15:51:40,297,95199,Product ID: 10544,ch_103Tl22GuzSZQBE5PP7H9Alx
18105,Shipped,02/11/2014,15:54:20,42,95200,Product ID: 10159,ch_103Tl42GuzSZQBE5TrcNdyk4
18106,Shipped,02/11/2014,19:06:48,73.99,95201,Product ID: 9804|Product ID: 10312,9BD400113X381200P
18108,Shipped,02/11/2014,20:57:24,77.98,95203,Product ID: 10608,3Y441614TG145903V
18111,Shipped,02/12/2014,10:51:33,121.02,95204,Product ID: 10396,ch_103U3Q2GuzSZQBE5Tuxi9NPc
18112,Shipped,02/12/2014,11:09:06,82.43,95160,Product ID: 9984|Product ID: 9986|Product ID: 10573,ch_103U3h2GuzSZQBE521j6cWZv
18115,Shipped,02/12/2014,14:38:44,31.99,95205,Product ID: 10306,ch_103U772GuzSZQBE5MY7QkuEG
18116,Shipped,02/12/2014,15:18:29,37,87826,Product ID: 10477,ch_103U7j2GuzSZQBE5GQU43cOK
18117,Shipped,02/12/2014,16:43:28,224.99,93432,Product ID: 10754|Product ID: 10760,ch_103U972GuzSZQBE5xQHdTOhp
18118,Shipped,02/12/2014,18:11:00,297,87351,Product ID: 9635|Product ID: 10656,ch_103UAW2GuzSZQBE5gWH7dj7M
18119,Shipped,02/12/2014,18:19:12,208,95206,Product ID: 10221,ch_103UAe2GuzSZQBE5sNnvgIPo
18121,Shipped,02/12/2014,21:24:34,93.99,95207,Product ID: 10245|Product ID: 10246,ch_103UDd2GuzSZQBE5NzSqVLKH
18122,Shipped,02-13-2014,1:28:36,82.99,82786,Product ID: 10778,4WJ32804MD015172D
18123,Partially Shipped,02-13-2014,12:54:40,117,95209,Product ID: 10076,3R597619445495808
18126,Shipped,02-13-2014,13:43:50,158.95,84415,Product ID: 10254|Product ID: 10267,ch_103UTQ2GuzSZQBE5pRcgfMte
18128,Shipped,02-13-2014,13:57:27,42.96,90481,Product ID: 9579|Product ID: 9605,ch_103UTd2GuzSZQBE5U2MdURYm
18129,Shipped,02-13-2014,17:32:45,103.99,95210,Product ID: 9516|Product ID: 10058,ch_103UX72GuzSZQBE5ObF4OzOA
18131,Refunded,02-14-2014,15:13:40,81,92794,Product ID: 10759,7MB1193307315192E
18132,Shipped,02-14-2014,15:48:07,42.5,89913,Product ID: 10755,66J87789A96809722
18133,Shipped,02-14-2014,16:52:56,88.82,95189,Product ID: 9682|Product ID: 9911|Product ID: 10906,ch_103Utn2GuzSZQBE5wcpRCmgm
18134,Shipped,02-14-2014,19:28:07,40,95211,Product ID: 9692,ch_103UwC2GuzSZQBE5jvdOcxrK
18135,Shipped,02-14-2014,21:53:13,42.73,95212,Product ID: 10322,7D665214E9253951Y
18137,Shipped,02-15-2014,11:39:47,318.12,87841,Product ID: 10173,ch_103VBs2GuzSZQBE5WcRFGvNc
18138,Shipped,02-15-2014,15:51:18,109.99,83697,Product ID: 9742|Product ID: 9900|Product ID: 9967|Product ID: 10399,5M737793LV382801J
18139,Shipped,02-15-2014,19:25:22,89,84368,Product ID: 10251,ch_103VJP2GuzSZQBE5I4J9ockJ
18142,Shipped,02-16-2014,20:36:24,89.99,81651,Product ID: 10915,ch_103Vhl2GuzSZQBE50gRtXddW
18143,Shipped,02-16-2014,21:16:10,41.84,93443,Product ID: 10569,ch_103ViT2GuzSZQBE5sP6QQNtt
18144,Shipped,02-16-2014,23:08:40,78,84144,Product ID: 10076,ch_103VkF2GuzSZQBE5Ja9ggXUo
18145,Shipped,02-17-2014,12:50:29,90,95214,Product ID: 10759,ch_103VxT2GuzSZQBE5uT0q5CgS
18146,Shipped,02-17-2014,13:07:39,134.02,81683,Product ID: 10676,ch_103Vxj2GuzSZQBE5duo6JSuW
18147,Shipped,02-17-2014,14:12:27,109.98,82012,Product ID: 10786,21H5287839038762D
18148,Shipped,02-17-2014,14:35:38,138,92943,Product ID: 9863,ch_103Vz92GuzSZQBE5zZFsSW6p
18150,Shipped,02-17-2014,17:04:57,37.99,90341,Product ID: 10767,ch_103W1Z2GuzSZQBE5PfC0IgLY
18151,Shipped,02-17-2014,21:18:50,147.71,95216,Product ID: 10911,ch_103W5h2GuzSZQBE5AiIHcJ47
18153,Shipped,02-18-2014,13:10:40,28.76,90481,Product ID: 9385,ch_103WL12GuzSZQBE5AhFK2sT6
18154,Shipped,02-18-2014,17:53:38,119,88300,Product ID: 10351,ch_103WPb2GuzSZQBE5RznsZYXj
18155,Shipped,02-18-2014,19:01:59,36,95218,Product ID: 10244,ch_103WQi2GuzSZQBE5VXTYwPN2
18156,Refunded,02-18-2014,20:29:44,256.4,95219,Product ID: 10770|Product ID: 10778|Product ID: 10786,48D87039Y6062792T
18157,Shipped,02-18-2014,21:04:55,45,95220,Product ID: 9751,7MU40491W6741835W
18160,Shipped,02-19-2014,19:39:31,98.98,83439,Product ID: 10786|Product ID: 10786,ch_103WoW2GuzSZQBE55cq57ORP
18161,Shipped,02-19-2014,19:44:36,66,95222,Product ID: 10477,ch_103Wob2GuzSZQBE53LCEFYyZ
18162,Cancelled,02-19-2014,19:58:37,40.99,83068,Product ID: 10297,ch_103Wop2GuzSZQBE5Xa368Fwc
18163,Shipped,02-19-2014,20:08:56,72.4,95223,Product ID: 10762|Product ID: 10784,ch_103Wp02GuzSZQBE5u3b7XbxJ
18164,Shipped,02-20-2014,0:37:34,129.99,95224,Product ID: 10911,14H07300652244127
18165,Shipped,02-20-2014,14:24:45,42.99,95225,Product ID: 10500,ch_103X6f2GuzSZQBE5KcSOcbf4
18166,Shipped,02-20-2014,17:57:47,29.84,86884,Product ID: 10283,ch_103XA62GuzSZQBE5nFs3BDhn
18167,Shipped,02-20-2014,19:36:20,176,95226,Product ID: 10216,ch_103XBg2GuzSZQBE5yzztWVVU
18168,Shipped,02-21-2014,10:21:03,169,95227,Product ID: 10663,7HR3943170095062C
18169,Shipped,02-21-2014,13:34:07,52.99,95228,Product ID: 10379,ch_103XT72GuzSZQBE51fGhHdwz
18171,Shipped,02-22-2014,3:43:25,79.42,95230,Product ID: 9511|Product ID: 9853,ch_103Xgr2GuzSZQBE5ZnIJ8M1W
18172,Shipped,02-22-2014,15:47:21,79,91546,Product ID: 10253,ch_103XsR2GuzSZQBE599hUeaMz
18173,Shipped,02-23-2014,23:27:58,79.92,95233,Product ID: 10007|Product ID: 10565,ch_103YN72GuzSZQBE5hxMuubht
18174,Shipped,02-23-2014,23:41:30,164.97,95234,Product ID: 10770|Product ID: 10773|Product ID: 10778,ch_103YNJ2GuzSZQBE5c9jKKBNL
18175,Refunded,02-24-2014,10:01:36,47,95235,Product ID: 9332,5Y999959PV657963G
18176,Shipped,02-24-2014,11:07:03,40.76,82144,Product ID: 10669,ch_103YYN2GuzSZQBE5NziroAwo
18178,Shipped,02-24-2014,16:58:30,130,86102,Product ID: 10754,ch_103Ye22GuzSZQBE5KGKh9sqO
18179,Shipped,02-24-2014,17:38:28,128,95236,Product ID: 10341,ch_103Yeg2GuzSZQBE5UHRHkrGe
18180,Shipped,02-25-2014,0:54:01,62.99,82012,Product ID: 10786,3F7655457X387120B
18181,Shipped,02-25-2014,7:54:59,65.97,95237,Product ID: 10720,ch_103YsX2GuzSZQBE5R4ndCXoJ
18184,Refunded,02-26-2014,15:32:10,33.99,89717,Product ID: 10081,ch_103ZN82GuzSZQBE5pkWp6aLo
18185,Shipped,02-26-2014,18:49:42,26,95238,Product ID: 9811|Product ID: 9815,ch_103ZQI2GuzSZQBE518PaAJg5
18186,Refunded,02-26-2014,23:15:08,94.73,95239,Product ID: 10038,ch_103ZUa2GuzSZQBE5iX50YzSw
18189,Shipped,02-27-2014,9:39:04,163,95240,Product ID: 10747,19R51367262239420
18190,Shipped,02-27-2014,13:50:23,118,95241,Product ID: 10782,ch_103Zig2GuzSZQBE56SJ1Gh2L
18191,Shipped,02-27-2014,16:28:01,84,90036,Product ID: 10231,ch_103ZlF2GuzSZQBE5fKNdIbrR
18192,Shipped,02-27-2014,19:16:08,79,95242,Product ID: 10697,5TB823376W9349234
18193,Shipped,02-28-2014,10:29:38,62.99,92362,Product ID: 10786,1JG47220M8384631T
18194,Shipped,02-28-2014,14:19:11,42.5,89913,Product ID: 10760,23B84331JF1706040
18195,Shipped,02-28-2014,16:56:47,267,95243,Product ID: 10251,ch_103a8v2GuzSZQBE5a585EIb8
18196,Shipped,02-28-2014,17:31:15,79.98,95244,Product ID: 10150,ch_103a9T2GuzSZQBE5ai29Pers
18197,Shipped,02-28-2014,19:10:12,32,95245,Product ID: 10552,ch_103aB52GuzSZQBE5pZVqk9c2
18198,Shipped,02-28-2014,20:51:39,209.97,83303,Product ID: 10513,ch_103aCh2GuzSZQBE5huCE4tR7
18201,Shipped,03/01/2014,10:27:29,51.74,95248,Product ID: 10431,1VM22439FM9803811
18203,Shipped,03/01/2014,13:30:10,38,95249,Product ID: 9774|Product ID: 9774|Product ID: 9780,ch_103aSp2GuzSZQBE5ccMn4QHE
18204,Refunded,03/01/2014,14:41:25,89.99,93245,Product ID: 10353,ch_103aTy2GuzSZQBE5YEWiOybI
18205,Shipped,03/01/2014,16:53:01,57.85,95250,Product ID: 10102,ch_103aW52GuzSZQBE5NABgNYio
18206,Refunded,03/01/2014,20:07:18,66.98,83052,Product ID: 9804|Product ID: 10249,ch_103aZE2GuzSZQBE5jljH9BFu
18207,Shipped,03/01/2014,20:48:23,29.84,90481,Product ID: 10753,ch_103aZs2GuzSZQBE5lgBa5jZJ
18208,Shipped,03/02/2014,2:37:38,168.95,95247,Product ID: 10451|Product ID: 10451,2HM801136D2013410
18209,Shipped,03/02/2014,2:40:56,37.99,95252,Product ID: 10760,ch_103afZ2GuzSZQBE5J4egxvSu
18211,Partially Shipped,03/02/2014,8:41:26,111.96,95253,Product ID: 10483|Product ID: 10483,8D2157358A4672818
18212,Refunded,03/02/2014,12:22:34,250.85,95251,Product ID: 10626,7RF82208963641011
18214,Shipped,03/02/2014,13:58:28,164.97,95254,Product ID: 10786,ch_103aqW2GuzSZQBE55T4cJ9gT
18215,Shipped,03/02/2014,16:35:45,63,95255,Product ID: 10722,5KJ27007NJ301501U
18216,Shipped,03/02/2014,17:20:31,76,95256,Product ID: 10418|Product ID: 10421,1TM38600DF942934W
18217,Shipped,03/02/2014,17:29:22,46.23,95257,Product ID: 10100,ch_103atv2GuzSZQBE5lJwmdMM9
18219,Shipped,03/02/2014,20:36:55,37,91756,Product ID: 9692,ch_103awv2GuzSZQBE502c72i2k
18220,Shipped,03/02/2014,22:08:30,99.98,81813,Product ID: 10450,ch_103ayP2GuzSZQBE5QHt5ikjA
18221,Refunded,03/03/2014,1:49:17,89.98,95083,Product ID: 10481,ch_103b1x2GuzSZQBE5lzScWhSn
18222,Shipped,03/03/2014,9:56:54,226.94,95259,Product ID: 9749|Product ID: 10141,ch_103b9p2GuzSZQBE5dLd4wylK
18223,Shipped,03/03/2014,10:18:05,222,95260,Product ID: 10234,4HA91457CG478262F
18228,Shipped,03/03/2014,14:15:43,116.1,94572,Product ID: 10668,ch_103bE02GuzSZQBE5ELndDxDi
18229,Shipped,03/03/2014,14:33:58,30,95261,Product ID: 9671,5XW22353MU905994T
18230,Shipped,03/03/2014,16:33:03,119.99,82012,Product ID: 10754|Product ID: 10786,4J698990MV874482S
18231,Shipped,03/03/2014,16:54:10,109.98,95262,Product ID: 10725|Product ID: 10770,8S26967054590125W
18233,Shipped,03/03/2014,18:22:08,26.99,95263,Product ID: 10124,ch_103bHy2GuzSZQBE5VQJyEqoq
18234,Shipped,03/03/2014,19:22:46,17,85056,Product ID: 9768,8E753952K3362342Y
18235,Shipped,03/03/2014,19:42:40,18.93,90481,Product ID: 9917,ch_103bJH2GuzSZQBE50yF5JG75
18236,Refunded,03/03/2014,22:48:43,113.97,95264,Product ID: 10142,ch_103bMH2GuzSZQBE53zWBnpdX
18238,Shipped,03/03/2014,23:15:50,52,94637,Product ID: 10319,ch_103bMi2GuzSZQBE5oXLFVRhM
18240,Shipped,03/04/2014,12:45:23,66.84,95266,Product ID: 10438,ch_103bZl2GuzSZQBE5Kkz2OQW5
18241,Refunded,03/04/2014,14:23:03,110,95267,Product ID: 10722,ch_103bbM2GuzSZQBE52396Lb4H
18242,Shipped,03/04/2014,15:10:47,27.99,95268,Product ID: 9967,7E148804A5410054F
18243,Shipped,03/04/2014,15:22:06,44.73,95269,Product ID: 10257,ch_103bcJ2GuzSZQBE57lRs0hyo
18244,Refunded,03/04/2014,17:16:10,88,95270,Product ID: 9835,0MV00497B0454294B
18245,Shipped,03/04/2014,18:30:30,121.99,95271,Product ID: 10772,ch_103bfK2GuzSZQBE5613OjEyw
18246,Shipped,03/04/2014,23:02:41,158,95272,Product ID: 10629,ch_103bjm2GuzSZQBE51xcKvYaP
18247,Shipped,03/05/2014,0:08:26,79,95272,Product ID: 10629,ch_103bkn2GuzSZQBE564oRt9qf
18248,Shipped,03/05/2014,3:55:26,139.99,95273,Product ID: 10554,ch_103boT2GuzSZQBE5aAdHosMc
18249,Shipped,03/05/2014,11:47:32,67.98,86900,Product ID: 10716,ch_103bw42GuzSZQBE5fOJpMoim
18250,Shipped,03/05/2014,15:23:05,109,93418,Product ID: 9909|Product ID: 9917,ch_103bzX2GuzSZQBE57WLUgicP
18251,Refunded,03/05/2014,15:51:58,47,95274,Product ID: 9575,7B72245827712433S
18252,Shipped,03/05/2014,21:09:22,239,89987,Product ID: 10626,ch_103c582GuzSZQBE502x0nXj9
18256,Shipped,03/06/2014,11:41:26,47.99,95276,Product ID: 9974,ch_103cJB2GuzSZQBE5TwIfOUBY
18257,Shipped,03/06/2014,12:43:45,62.99,94107,Product ID: 10770,2VH88684BR6518125
18259,Shipped,03/06/2014,21:50:02,62.99,95277,Product ID: 10786,42W08308L3969933D
18263,Shipped,03/07/2014,7:09:35,37.99,95278,Product ID: 10256,1TC42061C1305050R
18265,Shipped,03/07/2014,8:55:17,130,86774,Product ID: 10754,ch_103cdj2GuzSZQBE5EkspgY1k
18266,Shipped,03/07/2014,12:37:06,105.99,95280,Product ID: 10672,ch_103chK2GuzSZQBE5ZYW5dTmX
18267,Shipped,03/07/2014,13:52:11,62.99,95281,Product ID: 10773,ch_103cie2GuzSZQBE5LN6I6tpO
18269,Shipped,03/07/2014,14:30:32,129.99,95282,Product ID: 10911,62641020RL580205H
18270,Shipped,03/07/2014,15:00:19,105.99,95283,Product ID: 10672,ch_103cjc2GuzSZQBE5de2ZTVhx
18271,Shipped,03/07/2014,15:01:32,37.99,83574,Product ID: 10249,ch_103cjh2GuzSZQBE5JwiXqN3z
18272,Shipped,03/08/2014,1:33:06,77,95284,Product ID: 10392,ch_103ctp2GuzSZQBE5OMAi1SIQ
18273,Shipped,03/08/2014,11:16:43,81.96,95285,Product ID: 9948|Product ID: 9966|Product ID: 9967|Product ID: 10283,4PT31002YN979261V
18274,Shipped,03/08/2014,13:58:32,109.98,83373,Product ID: 10786,ch_103d5q2GuzSZQBE5qnTsiq7F
18275,Shipped,03/08/2014,14:26:34,87.99,95286,Product ID: 9376|Product ID: 9708|Product ID: 10659,ch_103d6K2GuzSZQBE5ZKEpveQj
18277,Shipped,03/08/2014,20:25:25,42,82800,Product ID: 10756,ch_103dC52GuzSZQBE5He1YzzAM
18278,Shipped,03/08/2014,22:35:36,168.98,95287,Product ID: 9944|Product ID: 9944|Product ID: 10351,23D20052VV167010L
18279,Shipped,03/09/2014,1:15:57,36.99,86573,Product ID: 9854,ch_103dGn2GuzSZQBE5T80GXLHt
18280,Shipped,03/09/2014,4:49:34,54,95288,Product ID: 10102,45P313240U627561R
18281,Shipped,03/09/2014,15:02:07,129,95289,Product ID: 10173,ch_103dU72GuzSZQBE5klm7Z57B
18282,Shipped,03/09/2014,16:19:34,178,95290,Product ID: 10629|Product ID: 10629,50C46098XN0800512
18285,Refunded,03/09/2014,21:45:27,75,95291,Product ID: 10600|Product ID: 10600,ch_103dab2GuzSZQBE5BlsS84Fx
18286,Refunded,03/09/2014,22:40:39,63.98,95292,Product ID: 10225|Product ID: 10539,ch_103dbV2GuzSZQBE5TA9bORBA
18287,Shipped,03/10/2014,0:01:04,64,95293,Product ID: 10190,ch_103dcn2GuzSZQBE5dfYwRYqH
18288,Shipped,03/10/2014,0:31:25,37.99,95294,Product ID: 10906,ch_103ddI2GuzSZQBE5ykWcfLRN
18289,Shipped,03/10/2014,3:11:22,53.95,95295,Product ID: 9780,36R01113WG8208602
18290,Shipped,03/10/2014,13:00:07,72.31,95296,Product ID: 10450,ch_103dpM2GuzSZQBE5FrnXGmyx
18291,Shipped,03/10/2014,13:48:38,40,95297,Product ID: 10223,90B788833V281424G
18292,Shipped,03/10/2014,18:20:41,52.99,85384,Product ID: 10377,ch_103duW2GuzSZQBE5c68Vx6P4
18293,Shipped,03/10/2014,18:45:21,119.99,82012,Product ID: 10754|Product ID: 10786,1GJ43171P4397190L
18294,Refunded,03/10/2014,20:03:14,47,95298,Product ID: 10680,67C27131HC482105K
18296,Shipped,03/10/2014,23:13:03,39.85,95299,Product ID: 10665,ch_103dzG2GuzSZQBE5JyaJPiVF
18297,Shipped,03/11/2014,5:13:57,64.73,95300,Product ID: 10438,ch_103e542GuzSZQBE5u6dx5fu5
18298,Shipped,03/11/2014,10:05:52,139.98,95301,Product ID: 10618,ch_103e9m2GuzSZQBE5ps3roaCj
18299,Shipped,03/11/2014,11:36:17,96,95302,Product ID: 9692,3NJ49262Y9404322C
18300,Shipped,03/11/2014,11:46:32,43.3,89114,Product ID: 10906,ch_103eBP2GuzSZQBE5dkCF5CeH
18301,Shipped,03/11/2014,12:45:51,76.81,82144,Product ID: 10128|Product ID: 10669,ch_103eCM2GuzSZQBE59ExKbJcz
18302,Shipped,03/11/2014,12:47:13,40.99,95303,Product ID: 10131,0SC87480M6822635K
18305,Shipped,03/11/2014,14:01:59,117.01,95284,Product ID: 10409,ch_103eDZ2GuzSZQBE5XDTbaRtc
18307,Shipped,03/11/2014,15:15:40,24.82,95304,Product ID: 10568,3KJ22159YH9132141
18308,Shipped,03/11/2014,16:17:08,65.98,91901,Product ID: 9302|Product ID: 9302,ch_103eFl2GuzSZQBE51z09XMmQ
18309,Refunded,03/11/2014,22:42:34,178.2,94150,Product ID: 10680,ch_103eLy2GuzSZQBE57MZXpNVG
18310,Shipped,03/12/2014,2:16:45,40.99,95305,Product ID: 10141,11M69715XT312543A
18312,Shipped,03/12/2014,13:10:54,109.98,84039,Product ID: 10785|Product ID: 10786,ch_103ea02GuzSZQBE5zgf4NgaU
18313,Shipped,03/12/2014,13:43:41,67.82,95306,Product ID: 10786,5BX626755W814163U
18314,Shipped,03/12/2014,14:29:53,80.98,90411,Product ID: 10162|Product ID: 10487,ch_103ebH2GuzSZQBE5yw8iogU4
18315,Shipped,03/12/2014,15:35:13,189,95307,Product ID: 10116,ch_103ecJ2GuzSZQBE5xQpq7JhU
18316,Shipped,03/12/2014,16:41:42,66.84,95308,Product ID: 10725,2FX358615R5387924
